seed,model_variant,threshold_min,delta_fnr_0_minus_1,delta_C_0_minus_1,delta_J_0_minus_1,delta_E_0_minus_1
50,reweighing,90.0,-0.04324324324324319,-0.0007027027027026998,0.0,0.0002574141709276
51,none,30.0,-0.1470588235294117,0.002279411764705891,-0.0197058823529411,0.001098615916955
51,none,45.0,-0.1470588235294117,-0.004191176470588198,-0.0070588235294117,0.0007266435986159
51,none,60.0,-0.1470588235294117,0.009632352941176502,-0.0011764705882352,0.0016349480968858
51,none,90.0,-0.1470588235294117,-0.0013970588235294,-0.0002941176470588,9.515570934256058e-05
51,post_processing,30.0,-0.1470588235294117,0.002279411764705891,-0.0197058823529411,0.001098615916955
51,post_processing,45.0,-0.1470588235294117,-0.004191176470588198,-0.0070588235294117,0.0007266435986159
51,post_processing,60.0,-0.1470588235294117,0.009632352941176502,-0.0011764705882352,0.0016349480968858
51,post_processing,90.0,-0.1470588235294117,-0.0013970588235294,-0.0002941176470588,9.515570934256058e-05
51,reweighing,30.0,-0.1764705882352941,0.002279411764705891,-0.0241176470588235,0.0008477508650519
51,reweighing,45.0,-0.1764705882352941,-0.004191176470588198,-0.0085294117647058,0.0008131487889273
51,reweighing,60.0,-0.1764705882352941,0.009632352941176502,-0.0017647058823529,0.0016089965397923
51,reweighing,90.0,-0.1764705882352941,-0.0013970588235294,-0.0005882352941176,-0.0001211072664359
52,none,30.0,0.02857142857142858,-0.011714285714285705,0.004571428571428601,0.003828571428571363
52,none,45.0,0.02857142857142858,-0.006571428571428603,-0.002285714285714299,-0.0018612244897958001
52,none,60.0,0.02857142857142858,-0.0022857142857143006,0.003142857142857101,0.0032408163265307
52,none,90.0,0.02857142857142858,-0.0025714285714285,-0.0008571428571428,-0.0001959183673469
52,post_processing,30.0,-0.057142857142857106,-0.011714285714285705,-0.006571428571428603,0.0049551020408162005
52,post_processing,45.0,-0.057142857142857106,-0.006571428571428603,-0.005428571428571399,-0.0006448979591837001
52,post_processing,60.0,-0.057142857142857106,-0.0022857142857143006,0.0011428571428571009,0.0029061224489796
52,post_processing,90.0,-0.057142857142857106,-0.0025714285714285,-0.0008571428571428,2.448979591836739e-05
52,reweighing,30.0,0.0,-0.011714285714285705,0.0011428571428571954,0.0044897959183672
52,reweighing,45.0,0.0,-0.006571428571428603,-0.0025714285714285995,-0.0006938775510204001
52,reweighing,60.0,0.0,-0.0022857142857143006,0.0028571428571428003,0.0035102040816327
52,reweighing,90.0,0.0,-0.0025714285714285,-0.0008571428571428,-0.0001224489795918
53,none,30.0,-0.0875331564986738,-0.009761273209549004,-0.014058355437665801,-0.00012087610550980002
53,none,45.0,-0.0875331564986738,-0.006047745358090197,-0.0123607427055703,-0.007264949447333
53,none,60.0,-0.0875331564986738,-0.002122015915119402,-0.0062068965517241,-0.0042806886701517
53,none,90.0,-0.0875331564986738,-0.0012201591511936001,-0.0017241379310344,-0.001294950361995
53,post_processing,30.0,-0.3978779840848807,-0.009761273209549004,-0.057851458885941696,0.0001763890550134
53,post_processing,45.0,-0.3978779840848807,-0.006047745358090197,-0.0247745358090186,-0.0049106093759893
53,post_processing,60.0,-0.3978779840848807,-0.002122015915119402,-0.01,-0.0024019728556452084
53,post_processing,90.0,-0.3978779840848807,-0.0012201591511936001,-0.0017241379310344,-0.0004388266996882
53,reweighing,30.0,-0.04509283819628648,-0.009761273209549004,-0.007957559681697604,0.0007013347029810998
53,reweighing,45.0,-0.04509283819628648,-0.006047745358090197,-0.009204244031830303,-0.0056628133596943
53,reweighing,60.0,-0.04509283819628648,-0.002122015915119402,-0.0046684350132626005,-0.0033546285416768
53,reweighing,90.0,-0.04509283819628648,-0.0012201591511936001,-0.0017241379310344,-0.0013181687058939
54,none,30.0,0.028571428571428595,0.02200000000000002,0.0088571428571428,0.0014857142857142
54,none,45.0,0.028571428571428595,0.0074285714285714025,0.0017142857142857003,-0.0008897959183673
54,none,60.0,0.028571428571428595,0.0031428571428571,0.0037142857142857004,0.0026612244897958
54,none,90.0,0.028571428571428595,-0.0020000000000000005,0.0005714285714286,0.0007183673469387999
54,post_processing,30.0,0.0,0.02200000000000002,0.0048571428571427995,0.0017142857142857
54,post_processing,45.0,0.0,0.0074285714285714025,-0.0002857142857142997,-0.0013469387755102001
54,post_processing,60.0,0.0,0.0031428571428571,0.0025714285714286004,0.0021224489795918003
54,post_processing,90.0,0.0,-0.0020000000000000005,0.0005714285714286,0.0008571428571428999
54,reweighing,30.0,0.0,0.02200000000000002,0.0048571428571427995,0.0017142857142857
54,reweighing,45.0,0.0,0.0074285714285714025,-0.0002857142857142997,-0.0013469387755102001
54,reweighing,60.0,0.0,0.0031428571428571,0.0025714285714286004,0.0021224489795918003
54,reweighing,90.0,0.0,-0.0020000000000000005,0.0005714285714286,0.0008571428571428999
55,none,30.0,0.08124999999999999,0.006312499999999999,0.009874999999999998,-0.0037746093750001
55,none,45.0,0.08124999999999999,0.0017500000000000016,0.0014999999999999996,-0.0035953124999999002
55,none,60.0,0.08124999999999999,0.0022499999999999985,-0.001,-0.0036046874999998996
55,none,90.0,0.08124999999999999,0.0005625000000000001,-0.001875,-0.002323046875
55,post_processing,30.0,-0.2125,0.006312499999999999,-0.022875000000000003,0.0072398437499998
55,post_processing,45.0,-0.2125,0.0017500000000000016,-0.009812499999999998,0.001965625
55,post_processing,60.0,-0.2125,0.0022499999999999985,-0.0055,-0.0006781249999999
55,post_processing,90.0,-0.2125,0.0005625000000000001,-0.001875,-0.0012007812499999
55,reweighing,30.0,-0.04999999999999999,0.006312499999999999,-0.005500000000000001,0.0004718749999998999
55,reweighing,45.0,-0.04999999999999999,0.0017500000000000016,-0.004375,-0.0019125000000000001
55,reweighing,60.0,-0.04999999999999999,0.0022499999999999985,-0.0026249999999999997,-0.0018874999999998999
55,reweighing,90.0,-0.04999999999999999,0.0005625000000000001,-0.001875,-0.001815625
56,none,30.0,0.2222222222222222,-0.011388888888888893,0.03,-0.00021604938271609997
56,none,45.0,0.2222222222222222,-0.018333333333333396,0.0036111111111112003,-0.0036111111111110997
56,none,60.0,0.2222222222222222,-0.0180555555555555,0.0005555555555556003,0.0007098765432098001
