seed,threshold_min,scenario,fnr,C,J,joint_event_count,n_geo_realizations,n_repaired_cases
46,30.0,S1,0.21428571428571427,0.15666666666666668,0.03261904761904762,137,4200,1
46,30.0,S2,0.23809523809523808,0.0769047619047619,0.016428571428571428,69,4200,1
46,30.0,S3,0.21428571428571427,0.0769047619047619,0.013571428571428571,57,4200,1
46,60.0,S0,0.23809523809523808,0.030238095238095238,0.0064285714285714285,27,4200,1
46,60.0,S1,0.21428571428571427,0.030238095238095238,0.0054761904761904765,23,4200,1
46,60.0,S2,0.23809523809523808,0.011666666666666667,0.002619047619047619,11,4200,1
46,60.0,S3,0.21428571428571427,0.011666666666666667,0.002142857142857143,9,4200,1
47,30.0,S0,0.19047619047619047,0.1411904761904762,0.02761904761904762,116,4200,8
47,30.0,S1,0.0,0.1411904761904762,0.0,0,4200,8
47,30.0,S2,0.19047619047619047,0.07071428571428572,0.01380952380952381,58,4200,8
47,30.0,S3,0.0,0.07071428571428572,0.0,0,4200,8
47,60.0,S0,0.19047619047619047,0.022857142857142857,0.0054761904761904765,23,4200,8
47,60.0,S1,0.0,0.022857142857142857,0.0,0,4200,8
47,60.0,S2,0.19047619047619047,0.007142857142857143,0.0009523809523809524,4,4200,8
47,60.0,S3,0.0,0.007142857142857143,0.0,0,4200,8
48,30.0,S0,0.2857142857142857,0.14142857142857143,0.039285714285714285,165,4200,2
48,30.0,S1,0.23809523809523808,0.14142857142857143,0.03238095238095238,136,4200,2
48,30.0,S2,0.2857142857142857,0.07285714285714286,0.017619047619047618,74,4200,2
48,30.0,S3,0.23809523809523808,0.07285714285714286,0.015476190476190477,65,4200,2
48,60.0,S0,0.2857142857142857,0.02142857142857143,0.0038095238095238095,16,4200,2
48,60.0,S1,0.23809523809523808,0.02142857142857143,0.0033333333333333335,14,4200,2
48,60.0,S2,0.2857142857142857,0.0064285714285714285,0.0016666666666666668,7,4200,2
48,60.0,S3,0.23809523809523808,0.0064285714285714285,0.0016666666666666668,7,4200,2
49,30.0,S0,0.3333333333333333,0.14166666666666666,0.05023809523809524,211,4200,6
49,30.0,S1,0.19047619047619047,0.14166666666666666,0.025238095238095237,106,4200,6
49,30.0,S2,0.3333333333333333,0.06976190476190476,0.023333333333333334,98,4200,6
49,30.0,S3,0.19047619047619047,0.06976190476190476,0.011904761904761904,50,4200,6
49,60.0,S0,0.3333333333333333,0.02214285714285714,0.007857142857142858,33,4200,6
49,60.0,S1,0.19047619047619047,0.02214285714285714,0.004285714285714286,18,4200,6
49,60.0,S2,0.3333333333333333,0.005952380952380952,0.0016666666666666668,7,4200,6
49,60.0,S3,0.19047619047619047,0.005952380952380952,0.0007142857142857143,3,4200,6
50,30.0,S0,0.23809523809523808,0.14952380952380953,0.03785714285714286,159,4200,2
50,30.0,S1,0.19047619047619047,0.14952380952380953,0.030714285714285715,129,4200,2
50,30.0,S2,0.23809523809523808,0.07119047619047619,0.018571428571428572,78,4200,2
50,30.0,S3,0.19047619047619047,0.07119047619047619,0.015476190476190477,65,4200,2
50,60.0,S0,0.23809523809523808,0.019761904761904762,0.005,21,4200,2
50,60.0,S1,0.19047619047619047,0.019761904761904762,0.0035714285714285713,15,4200,2
50,60.0,S2,0.23809523809523808,0.006904761904761905,0.002142857142857143,9,4200,2
50,60.0,S3,0.19047619047619047,0.006904761904761905,0.0014285714285714286,6,4200,2
51,30.0,S0,0.11904761904761904,0.1419047619047619,0.015952380952380954,67,4200,5
51,30.0,S1,0.0,0.1419047619047619,0.0,0,4200,5
51,30.0,S2,0.11904761904761904,0.07142857142857142,0.007857142857142858,33,4200,5
51,30.0,S3,0.0,0.07142857142857142,0.0,0,4200,5
51,60.0,S0,0.11904761904761904,0.02095238095238095,0.0009523809523809524,4,4200,5
51,60.0,S1,0.0,0.02095238095238095,0.0,0,4200,5
51,60.0,S2,0.11904761904761904,0.005714285714285714,0.0009523809523809524,4,4200,5
51,60.0,S3,0.0,0.005714285714285714,0.0,0,4200,5
52,30.0,S0,0.2619047619047619,0.1411904761904762,0.03761904761904762,158,4200,0
52,30.0,S1,0.2619047619047619,0.1411904761904762,0.03761904761904762,158,4200,0
52,30.0,S2,0.2619047619047619,0.07166666666666667,0.017619047619047618,74,4200,0
52,30.0,S3,0.2619047619047619,0.07166666666666667,0.017619047619047618,74,4200,0
52,60.0,S0,0.2619047619047619,0.01904761904761905,0.005952380952380952,25,4200,0
